[9:22:58 AM] [Config] Media Path: E:\Blippi\downloads
[9:22:58 AM] [DB] Initialized.
[9:22:58 AM] [Scheduler] Started — checking every minute for scheduled downloads.
[9:31:16 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:31:27 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:31:36 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:31:46 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:31:56 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:32:06 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:32:16 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:32:26 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:32:36 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:32:46 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:32:56 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:33:06 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:33:17 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:33:26 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:33:36 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:33:46 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:33:57 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:34:06 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:34:16 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:34:26 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:34:36 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:34:46 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:34:56 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:35:06 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
